market_ticker,city,event_date,temp_range_f,contracts,avg_entry_no_price_cents,contracts_exited_early,exchange_settlement,result,net_pnl_dollars
KXHIGHDEN-26JUN21-B88.5,DEN,2026-06-21,88-89,1.0,39.0,0.0,NO (out of range) - NO won,WIN,0.6
KXHIGHTDC-26JUN21-B86.5,DC,2026-06-21,86-87,1.0,15.0,0.0,NO (out of range) - NO won,WIN,0.85
KXHIGHTBOS-26JUN22-B79.5,BOS,2026-06-22,79-80,3.0,18.0,0.0,NO (out of range) - NO won,WIN,2.43
KXHIGHNY-26JUN22-B72.5,NY,2026-06-22,72-73,1.0,16.0,1.0,YES (in range) - NO lost,LOSS,-0.05
KXHIGHTDC-26JUN22-B90.5,DC,2026-06-22,90-91,2.0,18.0,0.0,NO (out of range) - NO won,WIN,1.62
KXHIGHTSATX-26JUN22-B91.5,SATX,2026-06-22,91-92,1.0,19.0,1.0,YES (in range) - NO lost,LOSS,0.11
KXHIGHTHOU-26JUN23-B92.5,HOU,2026-06-23,92-93,3.0,43.3,0.0,YES (in range) - NO lost,LOSS,-1.33
KXHIGHTSATX-26JUN23-B91.5,SATX,2026-06-23,91-92,3.0,33.3,0.0,YES (in range) - NO lost,LOSS,-1.02
KXHIGHTATL-26JUN23-B83.5,ATL,2026-06-23,83-84,1.0,37.0,1.0,YES (in range) - NO lost,LOSS,-0.17
KXHIGHTPHX-26JUN23-B109.5,PHX,2026-06-23,109-110,2.0,27.5,0.0,YES (in range) - NO lost,LOSS,-0.57
KXHIGHTDAL-26JUN23-B94.5,DAL,2026-06-23,94-95,2.0,43.5,0.0,YES (in range) - NO lost,LOSS,-0.89
KXHIGHTMIN-26JUN23-B75.5,MIN,2026-06-23,75-76,2.0,41.0,2.0,NO (out of range) - NO won,WIN,1.14
KXHIGHDEN-26JUN23-B83.5,DEN,2026-06-23,83-84,3.0,34.0,0.0,NO (out of range) - NO won,WIN,1.95
KXHIGHAUS-26JUN23-B93.5,AUS,2026-06-23,93-94,1.0,31.0,0.0,YES (in range) - NO lost,LOSS,-0.32
KXHIGHTLV-26JUN23-B107.5,LV,2026-06-23,107-108,3.0,46.3,3.0,NO (out of range) - NO won,WIN,1.55
KXHIGHTDAL-26JUN24-B95.5,DAL,2026-06-24,95-96,2.0,44.0,0.0,YES (in range) - NO lost,LOSS,-0.9
KXHIGHTHOU-26JUN24-B93.5,HOU,2026-06-24,93-94,1.0,56.0,0.0,YES (in range) - NO lost,LOSS,-0.57
KXHIGHNY-26JUN24-B82.5,NY,2026-06-24,82-83,1.0,58.0,0.0,YES (in range) - NO lost,LOSS,-0.59
KXHIGHTBOS-26JUN24-B82.5,BOS,2026-06-24,82-83,1.0,37.0,0.0,YES (in range) - NO lost,LOSS,-0.38
KXHIGHDEN-26JUN24-B83.5,DEN,2026-06-24,83-84,1.0,17.0,0.0,NO (out of range) - NO won,WIN,0.83
KXHIGHTMIN-26JUN24-B75.5,MIN,2026-06-24,75-76,1.0,27.0,0.0,NO (out of range) - NO won,WIN,0.72
KXHIGHTNOLA-26JUN24-B90.5,NOLA,2026-06-24,90-91,1.0,31.0,0.0,NO (out of range) - NO won,WIN,0.68
KXHIGHTPHX-26JUN24-B109.5,PHX,2026-06-24,109-110,1.0,17.0,0.0,NO (out of range) - NO won,WIN,0.83
KXHIGHAUS-26JUN24-B95.5,AUS,2026-06-24,95-96,1.28,47.2,0.0,NO (out of range) - NO won,WIN,0.666
KXHIGHAUS-26JUN24-B93.5,AUS,2026-06-24,93-94,1.0,28.0,1.0,YES (in range) - NO lost,LOSS,0.06
KXHIGHTSATX-26JUN24-B91.5,SATX,2026-06-24,91-92,2.0,24.5,0.0,YES (in range) - NO lost,LOSS,-0.51
KXHIGHTSEA-26JUN24-B85.5,SEA,2026-06-24,85-86,1.0,28.0,0.0,NO (out of range) - NO won,WIN,0.71
KXHIGHTLV-26JUN24-B102.5,LV,2026-06-24,102-103,1.0,52.0,0.0,NO (out of range) - NO won,WIN,0.47
KXHIGHTLV-26JUN25-B105.5,LV,2026-06-25,105-106,1.0,69.0,0.0,NO (out of range) - NO won,WIN,0.3
